SpeciesAuthor,lon_dd,lat_dd,damping_ratio
Ambrosia_dumosa,-116.0333333333,34.1166666667,1.3678026919
Ambrosia_dumosa,-116.0333333333,34.1166666667,1.6601050162
Ambrosia_dumosa,-116.0333333333,34.1166666667,4.8462639821
Ambrosia_dumosa,-116.0333333333,34.1166666667,2.8907793633
Argyroxiphium_sandwicense,-156.2166666667,20.7333333333,1.2169768217
Atriplex_acanthocarpa,-104.6333333333,29.2,3.2178953911
Atriplex_canescens,-103.5083333333,26.5083333333,2.3076343955
Atriplex_vesicaria,137.1416666667,-32.7416666667,1.6077554541
Atriplex_vesicaria,137.1416666667,-32.7416666667,4.0981909897
Atriplex_vesicaria,137.1416666667,-32.7416666667,2.0657059004
Atriplex_vesicaria,137.1416666667,-32.7416666667,2.3496007098
Atriplex_vesicaria,137.1416666667,-32.7416666667,2.4736842105
Atriplex_vesicaria,137.1416666667,-32.7416666667,3.7523698653
Atriplex_vesicaria,137.1416666667,-32.7416666667,2.7415151917
Atriplex_vesicaria,137.1416666667,-32.7416666667,2.8758898629
Atriplex_vesicaria,137.1416666667,-32.7416666667,2.0461344173
Atriplex_vesicaria,137.1416666667,-32.7416666667,1.6077554541
Atriplex_vesicaria,137.1416666667,-32.7416666667,4.0981909897
Atriplex_vesicaria,137.1416666667,-32.7416666667,2.0657059004
Atriplex_vesicaria,137.1416666667,-32.7416666667,6.4087967243
Atriplex_vesicaria,137.1416666667,-32.7416666667,2.8510560926
Atriplex_vesicaria,137.1416666667,-32.7416666667,2.1448300795
Atriplex_vesicaria,137.1416666667,-32.7416666667,1.6077554541
Atriplex_vesicaria,137.1416666667,-32.7416666667,4.0981909897
Atriplex_vesicaria,137.1416666667,-32.7416666667,2.0657059004
Atriplex_vesicaria,137.1416666667,-32.7416666667,4.0544527786
Atriplex_vesicaria,137.1416666667,-32.7416666667,2.6969266963
Atriplex_vesicaria,137.1416666667,-32.7416666667,2.8329119595
Banksia_ericifolia,151.3014166667,-33.45715,1.687129583
Calluna_vulgaris,-2.9166666667,57.0666666667,3.0721203168
Cassia_nemophila,139.3833333333,-32.0666666667,1.276135895
Eremophila_maitlandii,113.7,-24.65,1.1264305177
Gardenia_actinocarpa,145.3666666667,-16.1,1.3672192718
Helianthemum_juliae,-16.5833333333,28.25,2.6863590318
Lindera_umbellata,140.8005555556,38.9238888889,1.1071857509
Magnolia_salicifolia,140.8005555556,38.9238888889,1.0741214739
Miconia_albicans,-47.8833333333,-15.9333333333,1.1252610594
Mulinum_spinosum,-70.2666666667,-45.6833333333,1.8540898719
Mulinum_spinosum,-70.2666666667,-45.6833333333,2.4161658891
Petrophile_pulchella,151.25,-33.45,1.7496859497
Purshia_subintegra,-111.9833333333,34.7333333333,2.000265409
Purshia_subintegra,-111.9833333333,34.7333333333,2.1906970461
Rhus_copallinum,-90.4833333333,30.6833333333,1.3646379347
Rhus_copallinum,-90.4833333333,30.6833333333,1.2932308729
Rhus_copallinum,-90.4833333333,30.6833333333,1.5336233624
Rhus_copallinum,-90.4833333333,30.6833333333,1.3943722944
Senecio_filaginoides,-70.2666666667,-45.6833333333,1.9379557292
Senecio_filaginoides,-70.2666666667,-45.6833333333,2.695010762
Viburnum_furcatum,140.8005555556,38.9238888889,1.032514466
Echeveria_longissima,-97.4297222222,17.8963888889,1.5210562403
Echeveria_longissima,-97.4297222222,17.8963888889,1.3300415217
Echinocactus_platyacanthus,-97.4108333333,18.4336111111,1.0477636635
Espeletia_spicata,-70.9166666667,8.8666666667,1.5607544432
Espeletia_timotensis,-70.9166666667,8.8666666667,1.3265327944
Mammillaria_crucigera,-98.6116666667,18.5533333333,1.1951409458
Mammillaria_gaumeri,-89.6333333333,21.0166666667,1.5752881438
Mammillaria_gaumeri,-89.5,21.3166666667,1.1274760424
Mammillaria_gaumeri,-89.4,21.3,1.3116553141
Mammillaria_gaumeri,-89.4,21.3,1.031640153
